Country,Total
Algeria,1
Angola,1
Benin,1
Botswana,1
Burkina,1
Burundi,1
Cameroon,12
Cape Verde,1
Central African Republic,1
Chad,1
Comoros,1
Congo,1
Congo River,2
"Congo, Democratic Republic of",1
Djibouti,1
Egypt,2
Equatorial Guinea,1
Eritrea,1
Ethiopia,2
Gabon,12
Gambia,1
Ghana,5
Guinea,1
Guinea-Bissau,1
Ivory Coast,1
Kafue River,1
Kenya,6
Lake Barombi Mbo,1
Lake Chila,1
Lake Fwa,1
Lake Tanganyika,243
Lake Tanganyika affluent,9
Lesotho,1
Liberia,1
Libya,1
Madagascar,14
Malawi,6
Mali,1
Mauritania,1
Mauritius,1
Morocco,1
Mozambique,1
Namibia,15
Niger,1
Nigeria,1
Ruaha River,1
Rwanda,1
Sao Tome and Principe,3
Senegal,1
Seychelles,2
Sierra Leone,1
Somalia,1
South Africa,22
South Sudan,1
Sudan,1
Swaziland,1
Tanzania,7
Togo,1
Tunisia,1
Uganda,4
Western Africa,2
Zambezi River,2
Zambia,2
Zimbabwe,3
Total,418
